DATASET_TITLE,Car or Van Availability (KS404EW),,,,,,,,FROM,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011
AREA_TYPE,Super Output Area Lower Layer,,,,,,,,TO,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011,Mar-2011
GEO_HIERARCHY,2011 Statistical Geography Hierarchy,,,,,,,,HEADING,All Households,No Cars or Vans in Household,No Cars or Vans in Household,1 Car or Van in Household,1 Car or Van in Household,2 Cars or Vans in Household,2 Cars or Vans in Household,3 Cars or Vans in Household,3 Cars or Vans in Household,4 or More Cars or Vans in Household,4 or More Cars or Vans in Household,All Cars or Vans in the Area
,,,,,,,,,MEASUREMENT_UNIT,Count,Count,Percentage,Count,Percentage,Count,Percentage,Count,Percentage,Count,Percentage,Count
,,,,,,,,,STATISTICAL_UNIT,Households,Households,Households,Households,Households,Households,Households,Households,Households,Households,Households,Vehicles
GOR_CODE,GOR_NAME,LA_CODE,LA_NAME,MSOA_CODE,MSOA_NAME,LSOA_CODE,LSOA_NAME,AREA_METADATA,,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE,DATA_VALUE
E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,E02002705,East Riding of Yorkshire 022,E01012966,East Riding of Yorkshire 022E,,,576,46,8,231,40.1,219,38,54,9.4,26,4.5,943
E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,E02002707,East Riding of Yorkshire 024,E01012967,East Riding of Yorkshire 024C,,,660,65,9.8,247,37.4,279,42.3,49,7.4,20,3,1037
E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,E02002707,East Riding of Yorkshire 024,E01012968,East Riding of Yorkshire 024D,,,701,30,4.3,246,35.1,341,48.6,66,9.4,18,2.6,1201
E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,E02002707,East Riding of Yorkshire 024,E01012969,East Riding of Yorkshire 024E,,,476,56,11.8,185,38.9,171,35.9,44,9.2,20,4.2,744
E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,E02002715,East Riding of Yorkshire 032,E01012970,East Riding of Yorkshire 032A,,,634,45,7.1,234,36.9,266,42,67,10.6,22,3.5,1074
E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,E02002715,East Riding of Yorkshire 032,E01012972,East Riding of Yorkshire 032C,,,601,56,9.3,229,38.1,249,41.4,54,9,13,2.2,943
E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,E02002715,East Riding of Yorkshire 032,E01012973,East Riding of Yorkshire 032D,,,1135,73,6.4,497,43.8,467,41.1,77,6.8,21,1.9,1755
E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,E02002715,East Riding of Yorkshire 032,E01012974,East Riding of Yorkshire 032E,,,661,106,16,319,48.3,190,28.7,38,5.7,8,1.2,846
E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,E02006891,East Riding of Yorkshire 044,E01012975,East Riding of Yorkshire 044A,,,650,89,13.7,320,49.2,175,26.9,49,7.5,17,2.6,896
E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,E02006892,East Riding of Yorkshire 045,E01012976,East Riding of Yorkshire 045A,,,613,178,29,274,44.7,122,19.9,36,5.9,3,0.5,639
E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,E02006891,East Riding of Yorkshire 044,E01012977,East Riding of Yorkshire 044B,,,1019,118,11.6,422,41.4,363,35.6,95,9.3,21,2.1,1523
E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,E02002691,East Riding of Yorkshire 008,E01012978,East Riding of Yorkshire 008A,,,649,112,17.3,313,48.2,170,26.2,41,6.3,13,2,829
E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,E02006892,East Riding of Yorkshire 045,E01012979,East Riding of Yorkshire 045B,,,731,164,22.4,387,52.9,142,19.4,25,3.4,13,1.8,801
E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,E02006892,East Riding of Yorkshire 045,E01012980,East Riding of Yorkshire 045C,,,837,309,36.9,365,43.6,131,15.7,27,3.2,5,0.6,731
E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,E02002691,East Riding of Yorkshire 008,E01012981,East Riding of Yorkshire 008B,,,611,45,7.4,240,39.3,235,38.5,71,11.6,20,3.3,1016
E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,E02006892,East Riding of Yorkshire 045,E01012982,East Riding of Yorkshire 045D,,,775,200,25.8,344,44.4,189,24.4,35,4.5,7,0.9,865
